cve_id,state,days_public,hours_public,public_date,public_date_origin,clock_known,rule,rule_strength,rule_certainty,rule_basis,self_disclosed,owner_nameable,veto_evaluated,clock_origin,advisory_date,advisory_days_public,sources,feed_count,refs,source_urls,package,ecosystem,description,state_verified_this_run
CVE-2023-24036,RESERVED,1324,31776,2023-02-08,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-02-08,1324,csaf,1,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-0316	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-0316.json,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-0316.json""}",,,CVE-2023-24036,true
CVE-2023-1658,RESERVED,1270,30480,2023-04-03,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-04-03,1270,jvn,1,jvn:JVNDB-2023-001400,"{""jvn"": ""https://jvndb.jvn.jp/en/contents/2023/JVNDB-2023-001400.html""}",,,CONPROSYS HMI System(CHS) vulnerable to SQL injection,true
CVE-2023-28355,RESERVED,1262,30288,2023-04-11,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-04-11,1262,csaf,1,csaf:Schneider Electric CPCERT	SEVD-2023-101-01	https://www.se.com/.well-known/csaf/2023/sevd-2023-101-01.json,"{""csaf"": ""https://www.se.com/.well-known/csaf/2023/sevd-2023-101-01.json""}",,,CVE-2023-28355,true
CVE-2023-21119,RESERVED,1242,29808,2023-05-01,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-05-01,1242,"csaf,osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-1101	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-1101.json;osv:Android::unknown:,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-1101.json"", ""osv"": ""https://osv.dev/list?q=CVE-2023-21119""}",,Android,"In Gs101Pipeline::Update of gs101_displaycolor_pipeline.cc, there is a possible device reboot when watching a video due to improper input validation.",true
CVE-2023-28641,RESERVED,1222,29328,2023-05-21,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-05-21,1222,ghsa-repos,1,ghsa-repos:autolab/Autolab	GHSA-962r-m9fj-3hj9,"{""ghsa-repos"": ""https://github.com/autolab/Autolab/security/advisories/GHSA-962r-m9fj-3hj9""}",,,autolab/Autolab repository advisory GHSA-962r-m9fj-3hj9,true
CVE-2023-40317,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40317,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40317""}",,,,true
CVE-2023-40323,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40323,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40323""}",,,,true
CVE-2023-40316,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40316,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40316""}",,,,true
CVE-2023-40324,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40324,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40324""}",,,,true
CVE-2023-40319,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40319,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40319""}",,,,true
CVE-2023-40321,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40321,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40321""}",,,,true
CVE-2023-40325,RESERVED,1131,27144,2023-08-20,feed,true,4.5.1.6,SHOULD,unmeasurable,unattributed,false,false,false,advisory,2023-08-20,1131,"csaf,ubuntu-osv",2,csaf:Bundesamt für Sicherheit in der Informationstechnik	WID-SEC-W-2023-2102	https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json;ubuntu-osv:UBUNTU-CVE-2023-40325,"{""csaf"": ""https://wid.cert-bund.de/.well-known/csaf/white/2023/wid-sec-w-2023-2102.json"", ""ubuntu-osv"": ""https://ubuntu.com/security/CVE-2023-40325""}",,,,true
